Date,Actual_AOV,Predicted_AOV
2009-12-06,453.21068627450984,
2009-12-13,421.1743032786885,
2009-12-20,473.3211954022988,
2009-12-27,552.3568750000001,
2010-01-10,884.5944385026738,
2010-01-17,520.3781702127659,
2010-01-24,466.029156626506,
2010-01-31,451.2628125,
2010-02-07,417.8884410646388,
2010-02-14,310.13099206349204,
2010-02-21,570.799964028777,
2010-02-28,503.99170000000004,
2010-03-07,429.82355300859604,
2010-03-14,419.6572953736655,
2010-03-21,465.9564485981308,
2010-03-28,434.5793150684932,
2010-04-04,445.61788679245285,
2010-04-11,459.61368029739776,
2010-04-18,489.84363636363634,
2010-04-25,384.1538983050848,
2010-05-02,453.09117647058827,
2010-05-09,470.86125,
2010-05-16,451.3875801749271,
2010-05-23,430.91974921630094,
2010-05-30,402.407150997151,
2010-06-06,375.309,
2010-06-13,452.979908045977,
2010-06-20,401.5826517571885,
2010-06-27,362.4878445229682,
2010-07-04,482.10911428571427,
2010-07-11,436.41322580645163,
2010-07-18,444.89684210526315,
2010-07-25,433.7113071895425,
2010-08-01,465.8732475884244,
2010-08-08,413.62754448398573,
2010-08-15,479.5386111111111,
2010-08-22,490.1694568690096,
2010-08-29,436.41408360128617,
2010-09-05,457.15206896551723,
2010-09-12,399.3970945945946,
2010-09-19,432.26574229691875,
2010-09-26,511.8357603686636,
2010-10-03,566.0222862823063,
2010-10-10,491.50053719008264,
2010-10-17,551.6890891840608,
2010-10-24,423.55653100775197,
2010-10-31,434.07497737556565,
2010-11-07,530.1957723577236,
2010-11-14,454.6452588996764,
2010-11-21,425.71917355371903,
2010-11-28,379.92191290824263,
2010-12-05,424.0416313213703,
2010-12-12,432.6052156057495,
2010-12-19,405.0095238095238,
2010-12-26,423.2328037383178,
2011-01-09,506.5761160714286,
2011-01-16,656.338626609442,
2011-01-23,853.6003921568628,
2011-01-30,391.39622641509436,
2011-02-06,387.0846666666667,
2011-02-13,440.9605555555556,
2011-02-20,471.4496603773585,
2011-02-27,485.8706015037594,
2011-03-06,434.13611320754717,
2011-03-13,408.18664150943397,
2011-03-20,448.2379276315789,
2011-03-27,428.83424242424246,
2011-04-03,446.1331132075471,
2011-04-10,378.8345862068966,
2011-04-17,390.33526315789476,
2011-04-24,465.0146963562753,
2011-05-01,376.004375,
2011-05-08,358.64741176470585,
2011-05-15,458.83135416666664,
2011-05-22,454.7020843091335,
2011-05-29,439.7047222222222,
2011-06-05,423.6265546218487,
2011-06-12,516.2896505376344,
2011-06-19,499.1662170087976,
2011-06-26,364.6746534653465,
2011-07-03,453.9725196850394,
2011-07-10,422.87895765472314,
2011-07-17,384.18099337748345,
2011-07-24,511.25523219814244,
2011-07-31,505.1480745341615,
2011-08-07,513.1778405315615,
2011-08-14,552.4767984189723,
2011-08-21,542.1057654723127,
2011-08-28,423.5995942028986,
2011-09-04,446.99899598393574,
2011-09-11,440.7595174262734,
2011-09-18,598.5770639534884,
2011-09-25,688.8338513513513,
2011-10-02,450.5334352941176,
2011-10-09,620.1739957264957,
2011-10-16,474.49289099526067,
2011-10-23,580.8370685579196,
2011-10-30,451.03194331983804,
2011-11-06,507.0118774703557,
2011-11-13,430.3263018242123,
2011-11-20,404.6115292353823,
2011-11-27,411.8801858108108,
2011-12-04,391.1527575277338,
2011-12-11,838.3117219917012,
2011-12-11,,838.3117219917012
2011-12-18,,489.2423092819218
2011-12-25,,461.37055102060333
2012-01-01,,498.45557615187107
2012-01-08,,581.5463090999662
2012-01-15,,824.2548846395075
2012-01-22,,743.0563930026283
2012-01-29,,486.30405013337963
2012-02-05,,478.63395804083257
